Date,Open,High,Low,Close,Adj Close,Volume,Mkt-RF,SMB,HML,RF,Yest_Close,stock_return,SMA_20,SMA_50,EMA_12,EMA_26,MACD,RSI,ADS_Index
2017-02-06,16.733333587646484,17.187999725341797,16.708667755126953,17.184667587280273,17.184667587280273,53437500,-0.27,-0.61,-0.19,0.002,16.755332946777344,0.02562376061798917,16.32186679840088,16.171913146972656,16.663251424449925,16.243249702762988,0.42000172168693695,77.30279197139528,-0.353112
2017-02-07,17.21266746520996,17.333332061767578,17.094667434692383,17.165332794189453,17.165332794189453,63672000,-0.01,-0.3,-0.52,0.002,17.184667587280273,-0.0011251188300628822,16.40920009613037,16.213305632273357,16.74049471210216,16.31155215397976,0.42894255812239734,76.46591170632355,-0.362833
2017-02-08,17.156667709350586,17.55733299255371,17.079999923706055,17.472000122070312,17.472000122070312,58995000,0.06,-0.24,-0.6,0.002,17.165332794189453,0.017865504360315563,16.51656675338745,16.263653411865235,16.853034005943414,16.39751126272721,0.45552274321620345,80.13864708751336,-0.371206
2017-02-09,17.75,18.07866668701172,17.74333381652832,17.946666717529297,17.946666717529297,117303000,0.72,0.69,0.07,0.002,17.472000122070312,0.027167272901938353,16.648133420944212,16.328384692852314,17.021285192341242,16.512263518638477,0.5090216737027653,84.23870507992491,-0.378235
2017-02-10,17.986000061035156,18.06333351135254,17.74066734313965,17.948667526245117,17.948667526245117,54295500,0.38,0.41,0.14,0.002,17.946666717529297,0.00011148636943628283,16.7802668094635,16.388395168163157,17.16395939755722,16.61866381549823,0.5452955820589906,84.2534610534508,-0.383922
2017-02-13,18.049333572387695,18.71933364868164,18.034000396728516,18.706666946411133,18.706666946411133,105444000,0.49,-0.32,0.33,0.002,17.948667526245117,0.04223151490536245,16.92310013771057,16.47119058881487,17.40129902045782,16.77333071408437,0.6279683063734502,88.6056918559251,-0.392904
2017-02-14,18.601999282836914,19.159332275390625,18.573999404907227,18.73200035095215,18.73200035095215,110178000,0.45,-0.24,0.36,0.002,18.706666946411133,0.001354244698619378,17.074433517456054,16.54914954612995,17.606022302072333,16.918417353852355,0.6876049482199775,88.71792603069665,-0.393148
2017-02-15,18.666667938232422,18.81599998474121,18.429332733154297,18.650667190551758,18.650667190551758,74218500,0.54,0.18,-0.43,0.002,18.73200035095215,-0.004341936732680899,17.212433528900146,16.619200134277342,17.766736900299936,17.04673215657083,0.7200047437291062,85.7960406397471,-0.392009
2017-02-16,18.50666618347168,18.666667938232422,17.899999618530273,17.93000030517578,17.93000030517578,106159500,-0.16,-0.22,0.01,0.002,18.650667190551758,-0.03864027372388368,17.296400165557863,16.66148401075794,17.791854347203913,17.112159426837863,0.6796949203660496,65.28035967750813,-0.389487
2017-02-17,17.719999313354492,18.19266700744629,17.610000610351562,18.148666381835938,18.148666381835938,93856500,0.2,0.0,-0.54,0.002,17.93000030517578,0.012195542272078757,17.388066864013673,16.707958459854126,17.84674850637807,17.188937719800684,0.6578107865773859,67.79659908039753,-0.385582
2017-02-21,18.363332748413086,18.760000228881836,18.267332077026367,18.492666244506836,18.492666244506836,85150500,0.6,-0.01,0.13,0.002,18.148666381835938,0.018954553212526412,17.482966804504393,16.76204051393451,17.94612046609019,17.28551020311225,0.66061026297794,71.31823282896138,-0.358763
2017-02-22,18.687332153320312,18.89666748046875,18.17333221435547,18.233999252319336,18.233999252319336,131325000,-0.15,-0.38,0.1,0.002,18.492666244506836,-0.013987544509128633,17.545966720581056,16.805333418004654,17.990409510125442,17.355768651201664,0.6346408589237775,65.51646516358082,-0.350586
2017-02-23,17.600000381469727,17.643999099731445,17.03733253479004,17.06599998474121,17.06599998474121,223728000,-0.11,-0.66,0.25,0.002,18.233999252319336,-0.06405612128285885,17.551033401489256,16.812781034197126,17.848192660066328,17.334304305537927,0.513888354528401,46.94533165438059,-0.341904
2017-02-24,16.8439998626709,17.21666717529297,16.68000030517578,17.133333206176758,17.133333206176758,122574000,0.15,0.04,-0.98,0.002,17.06599998474121,0.00394546006655044,17.566000080108644,16.82168526119656,17.738214282544856,17.3194175574371,0.41879672510775734,47.86283337275416,-0.332714
2017-02-27,16.544666290283203,16.55733299255371,16.134000778198242,16.415332794189453,16.415332794189453,171912000,0.22,0.83,-0.33,0.002,17.133333206176758,-0.041906639142957745,17.54360008239746,16.810702762088262,17.5346940535671,17.252448315715053,0.28224573785204754,39.93252556385516,-0.300665
2017-02-28,16.279333114624023,16.733333587646484,16.260000228881836,16.666000366210938,16.666000366210938,91171500,-0.42,-1.38,0.16,0.002,16.415332794189453,0.01527033141297101,17.54146671295166,16.806894804302015,17.401048870896922,17.209007726862897,0.19204114403402528,43.45497055112407,-0.286623
2017-03-01,16.94533348083496,16.989999771118164,16.607332229614258,16.667999267578125,16.667999267578125,72142500,1.47,0.42,0.77,0.001,16.666000366210938,0.00011993887695095233,17.535099983215332,16.803333380283455,17.288272008847876,17.168933026175136,0.11933898267274046,43.48343209938526,-0.270663
2017-03-02,16.6473331451416,16.885332107543945,16.551332473754883,16.698667526245117,16.698667526245117,50277000,-0.7,-0.52,-0.9,0.001,16.667999267578125,0.0018399484050042386,17.5392333984375,16.800716733932497,17.19756362690899,17.134098544698837,0.06346508221015412,43.94958176836556,-0.254355
2017-03-03,16.715999603271484,16.793333053588867,16.600000381469727,16.771333694458008,16.771333694458008,43791000,0.09,-0.22,0.14,0.001,16.698667526245117,0.004351614767985648,17.539300060272218,16.800000074433118,17.1319897911473,17.10722707431063,0.024762716836672638,45.10492443634617,-0.237695
2017-03-06,16.527332305908203,16.780000686645508,16.500667572021484,16.747333526611328,16.747333526611328,50332500,-0.38,-0.35,-0.08,0.001,16.771333694458008,-0.0014310232140101302,17.538900089263915,16.79874610900879,17.072811904295612,17.08056829299957,-0.007756388703956674,44.77664010113682,-0.186537
2017-03-07,16.794666290283203,16.926000595092773,16.55466651916504,16.57266616821289,16.57266616821289,51892500,-0.36,-0.29,-0.06,0.001,16.747333526611328,-0.010429562301419087,17.508300018310546,16.793488435967024,16.995866406436733,17.04294591338574,-0.04707950694900731,42.36025092896616,-0.170413
2017-03-08,16.46666717529297,16.67133331298828,16.35466766357422,16.45800018310547,16.45800018310547,55878000,-0.19,-0.12,-0.83,0.001,16.57266616821289,-0.006918982373962032,17.47293338775635,16.78586370294744,16.91311775669346,16.999616600031647,-0.08649884333818747,40.803495857082304,-0.154911
2017-03-09,16.5086669921875,16.577333450317383,16.200000762939453,16.32666778564453,16.32666778564453,58189500,0.04,-0.47,-0.23,0.001,16.45800018310547,-0.007979851500776708,17.415666770935058,16.7756593492296,16.822894684224394,16.949768539706675,-0.12687385548228036,39.034088779734894,-0.140024
2017-03-10,16.413999557495117,16.433332443237305,16.200000762939453,16.246000289916992,16.246000289916992,45994500,0.34,0.09,-0.48,0.001,16.32666778564453,-0.004940842600990949,17.330633449554444,16.76414502185324,16.734141700484795,16.897637558240774,-0.1634958577559793,37.94565057838215,-0.125748
2017-03-13,16.321332931518555,16.456666946411133,16.185333251953125,16.411333084106445,16.411333084106445,45339000,0.13,0.32,-0.07,0.001,16.246000289916992,0.010176830680722454,17.25376672744751,16.756638384879903,16.684478836426585,16.861615004601195,-0.1771361681746093,41.543458408513494,-0.0858499
2017-03-14,16.407333374023438,17.20800018310547,16.40133285522461,17.200000762939453,17.200000762939453,113976000,-0.36,-0.23,0.0,0.001,16.411333084106445,0.04805628371511105,17.178433418273926,16.765875101089478,16.76378990204395,16.886680616329954,-0.12289071428600451,54.95864942812074,-0.0726051
2017-03-15,17.133333206176758,17.399999618530273,16.951332092285156,17.048667907714844,17.048667907714844,79962000,0.86,0.72,-0.46,0.001,17.200000762939453,-0.008798421425113171,17.09426679611206,16.77164638285734,16.80761728753178,16.898679674951058,-0.09106238741927797,52.47035584835893,-0.0592661
2017-03-16,17.49333381652832,17.71666717529297,17.270666122436523,17.469999313354492,17.469999313354492,106983000,-0.06,0.46,0.22,0.001,17.048667907714844,0.024713450219121698,17.035233402252196,16.785613441467284,16.90952221458143,16.940999648166127,-0.03147743358469768,58.15132658811269,-0.045828
2017-03-17,17.600000381469727,17.68866729736328,17.413333892822266,17.433332443237305,17.433332443237305,97462500,-0.08,0.64,-0.33,0.001,17.469999313354492,-0.0020988478281827095,17.010400009155273,16.83162675857544,16.990108403605408,16.977468744097326,0.01263965950808199,57.50713593426927,-0.0322856
2017-03-20,17.373332977294922,17.636667251586914,17.254667282104492,17.461332321166992,17.461332321166992,54214500,-0.25,-0.11,-0.72,0.001,17.433332443237305,0.0016061116267274043,16.976033306121828,16.878520069122313,17.062604390922576,17.01331049054693,0.04929390037564474,57.89075416461489,0.00876719
2017-03-21,17.52199935913086,17.65333366394043,16.682666778564453,16.711999893188477,16.711999893188477,103629000,-1.48,-1.34,-0.71,0.001,17.461332321166992,-0.04291381746799236,16.886999988555907,16.907413406372072,17.008665237425024,16.990991187038897,0.017674050386126794,45.93820960495372,0.0222758
2017-03-22,16.770666122436523,17.004667282104492,16.700666427612305,17.000667572021484,17.000667572021484,60889500,0.16,-0.29,-0.57,0.001,16.711999893188477,0.01727307806833243,16.825333404541016,16.939053421020507,17.007434827362943,16.991707956296867,0.015726871066075176,50.20358769952482,0.0356633
2017-03-23,17.025999069213867,17.17799949645996,16.886667251586914,16.985332489013672,16.985332489013672,49803000,-0.03,0.69,0.49,0.001,17.000667572021484,-0.0009020282846451225,16.82130002975464,16.972266731262206,17.0040344676169,16.991235699461075,0.012798768155825258,49.977998334136814,0.0489346
2017-03-24,17.046667098999023,17.592666625976562,17.000667572021484,17.54400062561035,17.54400062561035,84709500,-0.05,0.13,-0.21,0.001,16.985332489013672,0.03289120992821502,16.84183340072632,17.016840076446535,17.087106184231278,17.032181249546205,0.0549249346850722,57.47489782698763,0.0620949
2017-03-27,17.373332977294922,18.038000106811523,17.316667556762695,18.014667510986328,18.014667510986328,93462000,-0.05,0.55,-0.49,0.001,17.54400062561035,0.02682779688738196,16.921800136566162,17.071013431549073,17.229807926808977,17.104958009652883,0.12484991715609439,62.56516905046013,0.100022
2017-03-28,18.468000411987305,18.711999893188477,18.333332061767578,18.496667861938477,18.496667861938477,119814000,0.72,-0.14,0.72,0.001,18.014667510986328,0.026755994839105318,17.01333351135254,17.12394678115845,17.42470945529044,17.208047628340704,0.21666182694973557,66.93071671284628,0.110913
2017-03-29,18.555999755859375,18.639999389648438,18.369333267211914,18.492000579833984,18.492000579833984,55143000,0.18,0.38,-0.09,0.001,18.496667861938477,-0.00025233096789807684,17.10453357696533,17.17968013763428,17.5889080898356,17.303155254377245,0.2857528354583536,66.84942207595162,0.120781
2017-03-30,18.535999298095703,18.799999237060547,18.480667114257812,18.527999877929688,18.527999877929688,62226000,0.36,0.34,0.92,0.001,18.492000579833984,0.0019467497819009,17.196000194549562,17.232426795959473,17.73338374954238,17.3938844857515,0.3394992637908807,67.18053986808016,0.129627
2017-03-31,18.582000732421875,18.64533233642578,18.42133331298828,18.553333282470703,18.553333282470703,49419000,-0.16,0.58,-0.32,0.001,18.527999877929688,0.001367303794684954,17.285100173950195,17.278480110168456,17.859529831531354,17.479769581804774,0.37976024972657996,67.42710518071922,0.137456
